A2Q0JW4UWC2SKT
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873028649,1658873032728,1658873166551,1658873171012,1658873172841,1658873178166,1658873180765,1658873183366,1658873185310,1658873187706,1658873189986,1658873191704,1658873196704,1658873198259,1658873200276,1658873202545,1658873204354,1658873206913,1658873208482,1658873212665,1658873214292,1658873215987,1658873220960,1658873222972,1658873237992,1658873241318,1658873243876,1658873245495,1658873247960,1658873251388,1658873253241,1658873255824,1658873257365,1658873258977,1658873260749,1658873263122,1658873264626,1658873266296,1658873273182,1658873274711,1658873277376,1658873280821,1658873282519,1658873284243,1658873286040,1658873288226,1658873291009,1658873293642,1658873295948,1658873299384,1658873300902,1658873303544,1658873305215,1658873312365,1658873313880,1658873316671,1658873318335,1658873321286,1658873322995,1658873324802,1658873327319,1658873328892,1658873330504,1658873331892,1658873334373,1658873337024,1658873338793,1658873344884,1658873347893,1658873349188,1658873350385,1658873351601,1658873354694,1658873356178,1658873357582,1658873358950,1658873361805,1658873365924,1658873368744,1658873370161,1658873371607,1658873372972,1658873374255,1658873375751,1658873378407,1658873379817,1658873382374,1658873384906,1658873387155,1658873389237,1658873391230,1658873393497,1658873396035,1658873398715,1658873404054,1658873405503,1658873407014,1658873414384,1658873418854,1658873420281
19,0,35,0,0,13,0,11,0,4,0,17,0,37,21,0,10,0,0,42,0,0,14,39,16,41,0,12,34,36,20,22,0,26,0,47,0,0,0,0,6,0,0,43,0,29,23,0,0,0,33,0,0,2,18,0,28,0,0,3,0,0,0,30,7,0,0,0,32,9,0,27,0,0,0,50,49,8,48,0,31,0,0,45,0,5,15,0,0,44,25,1,40,24,0,0,46,38,0,0
1658872907924,-1,1658872956057,-1,-1,1658872889882,-1,1658872883874,-1,1658872862823,-1,1658872901911,-1,1658872962075,1658872913943,-1,1658872880864,-1,-1,1658872977133,-1,-1,1658872892882,1658872968102,1658872898902,1658872974128,-1,1658872886876,1658872953050,1658872959066,1658872910937,1658872916955,-1,1658872928977,-1,1658872992163,-1,-1,-1,-1,1658872868845,-1,-1,1658872980137,-1,1658872938006,1658872919962,-1,-1,-1,1658872950044,-1,-1,1658872856808,1658872904919,-1,1658872934992,-1,-1,1658872859808,-1,-1,-1,1658872941018,1658872871855,-1,-1,-1,1658872947034,1658872877861,-1,1658872931986,-1,-1,-1,1658873001190,1658872998187,1658872874858,1658872995173,-1,1658872944019,-1,-1,1658872986143,-1,1658872865830,1658872895898,-1,-1,1658872983142,1658872925970,1658872853807,1658872971114,1658872922969,-1,-1,1658872989154,1658872965087,-1,-1
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0
SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew
1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
